timestamp,average_value,lower_bound,upper_bound
2023-01-19T00:00:00Z,94.6,93.8,96.1
2023-01-20T00:00:00Z,94.1,92.5,95.0
2023-01-21T00:00:00Z,94.1,93.1,95.0
2023-01-22T00:00:00Z,91.6,91.1,92.4
2023-01-23T00:00:00Z,95.1,94.1,96.0
2023-01-24T00:00:00Z,94.0,92.9,95.2
2023-01-25T00:00:00Z,94.5,93.8,95.3
2023-01-26T00:00:00Z,94.7,93.8,96.8
2023-01-27T00:00:00Z,93.6,92.3,94.3
2023-01-28T00:00:00Z,97.0,94.4,99.0
2023-01-29T00:00:00Z,94.5,93.9,94.9
2023-01-30T00:00:00Z,94.7,93.0,96.1
2023-01-31T00:00:00Z,94.8,94.0,95.9
2023-02-01T00:00:00Z,93.4,91.6,94.8
2023-02-02T00:00:00Z,94.8,93.0,96.1
